regulator	replicate	fastq_1	fastq_2
TUP1xstandard	A	fastq/SRX20967079_SRR25220417_1.fastq.gz	fastq/SRX20967079_SRR25220417_2.fastq.gz
TUP1xstandard	B	fastq/SRX20967080_SRR25220416_1.fastq.gz	fastq/SRX20967080_SRR25220416_2.fastq.gz
TUP1xstandard	C	fastq/SRX20967081_SRR25220415_1.fastq.gz	fastq/SRX20967081_SRR25220415_2.fastq.gz
STP4xstandard	A	fastq/SRX20967402_SRR25220710_1.fastq.gz	fastq/SRX20967402_SRR25220710_2.fastq.gz
STP4xstandard	B	fastq/SRX20967403_SRR25220709_1.fastq.gz	fastq/SRX20967403_SRR25220709_2.fastq.gz
STP4xstandard	C	fastq/SRX20967404_SRR25220708_1.fastq.gz	fastq/SRX20967404_SRR25220708_2.fastq.gz
MBP1xstandard	A	fastq/SRX20967150_SRR25220346_1.fastq.gz	fastq/SRX20967150_SRR25220346_2.fastq.gz
MBP1xstandard	B	fastq/SRX20967151_SRR25220345_1.fastq.gz	fastq/SRX20967151_SRR25220345_2.fastq.gz
MBP1xstandard	C	fastq/SRX20967152_SRR25220344_1.fastq.gz	fastq/SRX20967152_SRR25220344_2.fastq.gz
THI3xstandard	A	fastq/SRX20967372_SRR25220740_1.fastq.gz	fastq/SRX20967372_SRR25220740_2.fastq.gz
THI3xstandard	B	fastq/SRX20967074_SRR25220422_1.fastq.gz	fastq/SRX20967074_SRR25220422_2.fastq.gz
THI3xstandard	C	fastq/SRX20967075_SRR25220421_1.fastq.gz	fastq/SRX20967075_SRR25220421_2.fastq.gz
PHO2xstandard	A	fastq/SRX20967028_SRR25220468_1.fastq.gz	fastq/SRX20967028_SRR25220468_2.fastq.gz
PHO2xstandard	B	fastq/SRX20967029_SRR25220467_1.fastq.gz	fastq/SRX20967029_SRR25220467_2.fastq.gz
PHO2xstandard	C	fastq/SRX20967030_SRR25220466_1.fastq.gz	fastq/SRX20967030_SRR25220466_2.fastq.gz
UGA3xstandard	A	fastq/SRX20967085_SRR25220411_1.fastq.gz	fastq/SRX20967085_SRR25220411_2.fastq.gz
UGA3xstandard	B	fastq/SRX20967086_SRR25220410_1.fastq.gz	fastq/SRX20967086_SRR25220410_2.fastq.gz
UGA3xstandard	C	fastq/SRX20967087_SRR25220409_1.fastq.gz	fastq/SRX20967087_SRR25220409_2.fastq.gz
LYS14xstandard	A	fastq/SRX20967141_SRR25220355_1.fastq.gz	fastq/SRX20967141_SRR25220355_2.fastq.gz
LYS14xstandard	B	fastq/SRX20967142_SRR25220354_1.fastq.gz	fastq/SRX20967142_SRR25220354_2.fastq.gz
LYS14xstandard	C	fastq/SRX20967143_SRR25220353_1.fastq.gz	fastq/SRX20967143_SRR25220353_2.fastq.gz
NRG1xstandard	A	fastq/SRX20967025_SRR25220471_1.fastq.gz	fastq/SRX20967025_SRR25220471_2.fastq.gz
NRG1xstandard	B	fastq/SRX20967157_SRR25220339_1.fastq.gz	fastq/SRX20967157_SRR25220339_2.fastq.gz
NRG1xstandard	C	fastq/SRX20967158_SRR25220338_1.fastq.gz	fastq/SRX20967158_SRR25220338_2.fastq.gz
